modelo,tecnica,case_id,source_id,original_case,execucao,meteor_score,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.9,1,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro e redireciona o usuário para a página principal
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.89,2,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos de nome, email e senha corretamente
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de login
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.88,3,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos de nome, email e senha corretamente
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de login
    And a entidade é criada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.84,4,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos necessários
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.83,5,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com informações válidas
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de entidades listadas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.83,6,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página principal
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.83,7,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.83,8,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de entidades listadas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.83,9,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And o usuário preenche todos os campos obrigatórios com informações válidas
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.8,10,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,1,0.8,1,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-01,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário insere um valor inválido no campo data
    And o usuário insere um valor inválido no campo valor
  When o usuário clica no botão de salvar
  Then o sistema exibe uma mensagem de erro indicando que a data e o valor são inválidos
    And o sistema mantém a página de cadastro de transação aberta
    And o sistema mantera os valores inseridos pelos usuário nos campos data e valor",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,8,0.79,2,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-08,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo ""Data"" com uma data inválida
    And o usuário preenche o campo ""Valor"" com um valor inválido
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que pelo menos um campo está inválido
    And o sistema mantém a transação não salva",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,4,0.78,3,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-04,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo ""Data"" com uma data inválida
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que a data está inválida
    And o campo ""Data"" é mantido preenchido com a data inválida
    And o botão ""Salvar"" permanece habilitado",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,7,0.78,4,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-07,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo ""Data"" com uma data inválida
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que a data está inválida
    And o campo ""Data"" é mantido com o valor preenchido
    And o usuário permanece na página de cadastro de transação",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,9,0.78,5,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-09,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo ""Data da Transação"" com uma data inválida
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que a data da transação é inválida
    And o campo ""Data da Transação"" é mantido com o valor preenchido
    And o sistema não salva a transação",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
