modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.805102,1,0.617561,0.375084,0.007356,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de enviar
  Then a mensagem de sucesso é exibida
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.782634,2,0.572888,0.419493,0.00762,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And que o usuário preenche os campos necessários com informações válidas
  When o usuário clica no botão de enviar
  Then a entidade é criada e o sistema exibe uma mensagem de sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.747332,3,0.501688,0.491289,0.007023,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso e redireciona para a página de listagem de entidades
    And a entidade é incluída na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.74676,4,0.500556,0.492409,0.007035,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de lista de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.742175,5,0.504642,0.475066,0.020293,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de entidades listadas
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.741518,6,0.50346,0.476117,0.020423,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e o registro é criado no banco de dados
    And o usuário é redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.740527,7,0.501659,0.477734,0.020606,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e a entidade é salva no banco de dados
    And a página é redirecionada para a lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.74027,8,0.500839,0.478862,0.020299,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de lista de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.739738,9,0.499907,0.479662,0.020431,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona para a página de listagem de entidades
    And a entidade aparece na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.738324,10,0.497265,0.482117,0.020618,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de listagem de entidades
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,7,0.69576,1,0.393338,0.604843,0.001819,0.0,1.0,3,5,3,0,2,TC_1002__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-07,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given um usuário está na página de cadastro de transações
    And o usuário preenche o campo ""Valor"" com um valor inválido
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que o valor da transação está inválido
    And o campo ""Valor"" é mantido com o valor inválido",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,6,0.693836,2,0.389568,0.608535,0.001896,0.0,1.0,3,5,3,0,2,TC_1002__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-06,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de criação de transação
    And o usuário preenche o campo ""Valor"" com um valor inválido
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que o valor da transação é inválido
    And o campo ""Valor"" é mantido como inválido",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,10,0.692749,3,0.387962,0.609573,0.002465,0.0,1.0,3,5,3,0,2,TC_1002__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-10,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de criação de transação
    And o usuário insere um código de transação inválido
  When o usuário clica no botão de salvar
  Then o sistema exibe uma mensagem de erro indicando que o código de transação é inválido
    And o campo de código de transação é limpo",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,5,0.667851,4,0.338014,0.659674,0.002313,0.0,1.0,3,5,3,0,2,TC_1002__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-05,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given um usuário está na página de cadastro de transações
    And o usuário preenche o campo de data com uma data inválida
  When o usuário clica no botão de salvar
  Then o sistema exibe uma mensagem de erro indicando que a data está inválida
    And o campo de data é limpo",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,3,0.667619,5,0.337678,0.659881,0.002441,0.0,1.0,3,5,3,0,2,TC_1002__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-03,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de criação de transação
    And o usuário preenche o campo ""Valor"" com um valor inválido
  When o usuário clica no botão de salvar
  Then o sistema exibe uma mensagem de erro indicando que o valor está inválido
    And o campo ""Valor"" é limpo",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,1,0.667191,6,0.336772,0.660838,0.00239,0.0,1.0,3,5,3,0,2,TC_1002__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-01,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo de data com uma data inválida
  When o usuário clica no botão de salvar
  Then o sistema exibe uma mensagem de erro indicando que a data está inválida
    And o campo de data é limpo",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,4,0.667177,7,0.336832,0.66069,0.002478,0.0,1.0,3,8,3,0,5,TC_1002__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-04,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo de valor com um valor inválido
  When o usuário clica no botão de salvar
  Then o sistema exibe uma mensagem de erro indicando que o valor é inválido
    And o campo de valor é limpo
    And o campo de data é mantido com o valor atual
    And o campo de descrição é mantido com o valor original
    And o botão de salvar permanece desabilitado",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
