modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.841657,1,0.683767,0.315781,0.000452,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos de cadastro com informações válidas
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.837501,2,0.675329,0.324344,0.000327,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche todos os campos obrigatórios corretamente
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.836625,3,0.673683,0.325884,0.000433,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos de cadastro com dados válidos
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.757032,4,0.514414,0.485236,0.00035,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro
  When o usuário preenche todos os campos obrigatórios corretamente
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de login",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.754916,5,0.510359,0.489113,0.000527,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos de cadastro com informações válidas
  Then o sistema exibe uma mensagem de confirmação indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.75076,6,0.501921,0.497677,0.000402,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche todos os campos obrigatórios corretamente
  Then o sistema exibe uma mensagem de confirmação indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.75076,7,0.501921,0.497677,0.000402,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche todos os campos obrigatórios corretamente
  Then o sistema exibe uma mensagem de confirmação indicando que a entidade foi cadastrada com sucesso
    And a entidade é criada com sucesso na base de dados",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.745153,8,0.491722,0.506864,0.001415,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário tem dados válidos para cadastro
  When o usuário preenche o formulário de cadastro e clica no botão de submit
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de login",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.728893,9,0.459049,0.539688,0.001263,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro e clica no botão de submit
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.708748,10,0.417985,0.581526,0.000489,0.0,1.0,3,5,3,0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro
  When o usuário preenche os campos de cadastro com informações válidas
  Then o sistema exibe uma mensagem de confirmação ""Cadastro realizado com sucesso""
    And a entidade é criada com sucesso
    And o usuário é redirecionado para a página de login",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
