modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.829652,1,0.659782,0.339741,0.000477,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem credenciais válidas
  When o usuário preenche o formulário de cadastro e submete
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.82452,2,0.649808,0.349423,0.000769,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro e submete a solicitação
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.82452,3,0.649808,0.349423,0.000769,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro e submete a solicitação
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.798755,4,0.597883,0.401744,0.000373,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todas as informações necessárias para cadastro
  When o usuário submete as informações de cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.789353,5,0.579184,0.420338,0.000477,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then a entidade é cadastrada com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.789198,6,0.578853,0.420689,0.000457,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.781765,7,0.56393,0.435669,0.000401,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todas as informações necessárias para cadastro
  When o usuário submeteu as informações para cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.780726,8,0.567344,0.426764,0.005892,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then a entidade é criada com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.771515,9,0.543367,0.456296,0.000337,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete o formulário de cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.670649,10,0.341654,0.65799,0.000356,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro com sucesso
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
