modelo,tecnica,case_id,source_id,original_case,execucao,bertscore_precision,bertscore_recall,bertscore_f1,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,39.97057342529297,55.70677947998047,47.6240234375,1,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de enviar
  Then a mensagem de sucesso é exibida
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,36.575138092041016,55.886722564697266,45.87242126464844,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de listagem de entidades
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,36.48398208618164,52.86062240600586,44.4338264465332,3,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e a entidade é salva no banco de dados
    And a página é redirecionada para a lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,37.714935302734375,49.78816604614258,43.655113220214844,4,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And que o usuário preenche os campos necessários com informações válidas
  When o usuário clica no botão de enviar
  Then a entidade é criada e o sistema exibe uma mensagem de sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,34.33502197265625,52.243316650390625,42.9893684387207,5,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso e redireciona para a página de listagem de entidades
    And a entidade é incluída na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,34.360191345214844,51.38046646118164,42.60651397705078,6,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona para a página de listagem de entidades
    And a entidade aparece na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,34.137996673583984,51.18671798706055,42.3973503112793,7,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de lista de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,33.18764114379883,50.4288444519043,41.535255432128906,8,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de lista de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,33.57415771484375,48.832122802734375,41.005699157714844,9,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e o registro é criado no banco de dados
    And o usuário é redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,32.4771728515625,48.67259979248047,40.34268569946289,10,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de entidades listadas
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
