modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.840822,1,0.683454,0.314736,0.00181,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.840822,2,0.683454,0.314736,0.00181,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.840822,3,0.683454,0.314736,0.00181,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.840822,4,0.683454,0.314736,0.00181,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados necessários
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.84057,5,0.682952,0.315235,0.001812,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a página de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.84057,6,0.682952,0.315235,0.001812,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a página de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.818296,7,0.638407,0.359778,0.001815,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão ""Cadastrar""
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade é armazenada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.818296,8,0.638407,0.359778,0.001815,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão ""Cadastrar""
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade é armazenada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.818296,9,0.638407,0.359778,0.001815,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados necessários
  When o usuário clica no botão ""Cadastrar""
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade é armazenada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.818077,10,0.637959,0.360236,0.001805,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__few-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a página de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão ""Cadastrar""
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade é armazenada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
