modelo,tecnica,case_id,source_id,original_case,execucao,distancia_manhattan,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,34.0,1,TC_1__google-gemma-4-e4b-it__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos corretamente
  When o usuário submete o formulário de cadastro
  Then o sistema deve criar a nova entidade com sucesso
    And o usuário deve receber uma mensagem de confirmaçãoотя",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,34.0,2,TC_1__google-gemma-4-e4b-it__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos com dados válidos
  When o usuário submete o formulário de cadastro
  Then o sistema deve exibir uma mensagem de sucesso
    And a nova entidade deve ser persistida no sistemaୁ>",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,34.0,3,TC_1__google-gemma-4-e4b-it__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na tela de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos com dados válidos
  When o usuário submete o formulário de cadastro
  Then o sistema deve exibir uma mensagem de sucesso
    And a nova entidade deve ser persistida no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,36.0,4,TC_1__google-gemma-4-e4b-it__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And todos os campos obrigatórios são preenchidos com dados válidos
  When o usuário clica no botão de salvar
  Then a entidade deve ser criada no sistema
    And o sistema deve exibir uma mensagem de confirmação de sucesso",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,36.0,5,TC_1__google-gemma-4-e4b-it__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos com dados válidos
  When o usuário submete o formulário de cadastro
  Then o sistema deve exibir uma mensagem de sucesso
    And a nova entidade deve ser persistida no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,36.0,6,TC_1__google-gemma-4-e4b-it__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos com dados válidos
  When o usuário submete o formulário de cadastro
  Then o sistema deve exibir uma mensagem de sucesso
    And a nova entidade deve ser persistida no banco de dadosなければотя",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,36.0,7,TC_1__google-gemma-4-e4b-it__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na tela de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos com dados válidos
  When o usuário submete o formulário de cadastro
  Then o sistema deve exibir uma mensagem de confirmação de sucesso
    And a nova entidade deve ser persistida no sistemaなければ",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,36.0,8,TC_1__google-gemma-4-e4b-it__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos com dados válidos
  When o usuário submete o formulário de cadastro
  Then o sistema deve criar a nova entidade com sucesso
    And o usuário deve receber uma mensagem de confirmação de cadastroなければ",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,38.0,9,TC_1__google-gemma-4-e4b-it__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos corretamente
  When o usuário submete o formulário de cadastro
  Then o sistema deve exibir uma mensagem de confirmação de sucesso
    And a nova entidade deve ser persistida no sistemaなければ",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
google/gemma-4-E4B-it,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,38.0,10,TC_1__google-gemma-4-e4b-it__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And todos os campos obrigatórios estão preenchidos corretamente
  When o usuário submete o formulário de cadastro
  Then o sistema deve exibir uma mensagem de confirmação de sucesso
    And a nova entidade deve ser persistida no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_google-gemma-4-e4b-it_one-shot.json
