modelo,tecnica,case_id,source_id,original_case,execucao,bertscore_precision,bertscore_recall,bertscore_f1,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,50.13719940185547,63.24671936035156,56.55978775024414,1,TC_1__qwen-qwen3-8b__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
  When o usuário preenche todos os campos corretamente e envia o formulário
  Then a entidade é cadastrada com sucesso
    And uma mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,50.13719940185547,63.24671936035156,56.55978775024414,2,TC_1__qwen-qwen3-8b__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
  When o usuário preenche todos os campos corretamente e envia o formulário
  Then a entidade é cadastrada com sucesso
    And uma mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,50.13719940185547,63.246734619140625,56.55978775024414,3,TC_1__qwen-qwen3-8b__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
  When o usuário preenche todos os campos corretamente e envia o formulário
  Then a entidade é cadastrada com sucesso
    And uma mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,50.13719940185547,63.246734619140625,56.55978775024414,4,TC_1__qwen-qwen3-8b__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
  When o usuário preenche todos os campos corretamente e envia o formulário
  Then a entidade é cadastrada com sucesso
    And uma mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,47.974056243896484,52.89903259277344,50.47343826293945,5,TC_1__qwen-qwen3-8b__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário autenticado no sistema
    And uma entidade válida foi preparada
  When o usuário cadastra a entidade
  Then a entidade é registrada com sucesso
    And uma confirmação de cadastro é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,43.71540451049805,57.010990142822266,50.228302001953125,6,TC_1__qwen-qwen3-8b__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
    And os dados da entidade são validados corretamente
  When o usuário preenche e envia o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And uma confirmação de cadastro é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,42.46763610839844,48.263954162597656,45.39786148071289,7,TC_1__qwen-qwen3-8b__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário autenticado no sistema
    And uma entidade válida foi preparada para cadastro
  When o usuário cadastra a entidade
  Then a entidade é registrada com sucesso no sistema
    And uma confirmação de cadastro é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,42.46763610839844,48.263954162597656,45.39786148071289,8,TC_1__qwen-qwen3-8b__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário autenticado no sistema
    And uma entidade válida foi preparada para cadastro
  When o usuário cadastra a entidade
  Then a entidade é registrada com sucesso no sistema
    And uma confirmação de cadastro é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,42.46763610839844,48.263954162597656,45.39786148071289,9,TC_1__qwen-qwen3-8b__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário autenticado no sistema
    And uma entidade válida foi preparada para cadastro
  When o usuário cadastra a entidade
  Then a entidade é registrada com sucesso no sistema
    And uma confirmação de cadastro é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,37.79821014404297,52.74583053588867,45.08523941040039,10,TC_1__qwen-qwen3-8b__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
    And todos os campos obrigatórios estão preenchidos corretamente
  When o usuário envia o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And uma confirmação de cadastro é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1002,1002,Cadastrar transação com campos inválidos,10,37.42395782470703,58.756561279296875,47.63946533203125,1,TC_1002__qwen-qwen3-8b__zero-shot__exec-10,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário acessa a tela de cadastro de transações
    And preenche o campo valor com um número negativo
    And preenche o campo data com uma data no futuro
  When clica no botão cadastrar
  Then recebe uma mensagem de erro indicando que os campos são inválidos
    And o sistema não salva a transação",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
