modelo,tecnica,case_id,source_id,original_case,execucao,meteor_score,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.83,1,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário clica no botão de cadastro
  Then a entidade é cadastrada com sucesso e é exibida na lista de resultados
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.79,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido e senha correta
    And dados de cadastro válidos
  When realiza o cadastro da entidade
  Then a entidade é cadastrada com sucesso
    And mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.78,3,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário submete o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And um recado de confirmação é exibido ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.78,4,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário submete o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.77,5,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And um formulário de cadastro está disponível
  When o usuário preenche o formulário com dados válidos
  Then o sistema registra a entidade com sucesso
    And envia uma mensagem de confirmação para o usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.74,6,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro de entidade está preenchido corretamente
  When o usuário clica no botão de cadastro
  Then a entidade é criada com sucesso
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.74,7,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido e senha correta
  When realiza o cadastro da entidade
  Then a entidade é cadastrada com sucesso
    And um mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.74,8,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
  When realiza a solicitação de cadastro da entidade
  Then a entidade é cadastrada com sucesso e apresentada na lista de resultados
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.73,9,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
  When solicita a criação de uma nova entidade
  Then a entidade é criada com sucesso e é exibida na lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.66,10,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And ele tem todas as informações necessárias para cadastro
  When ele submete as informações de cadastro
  Then o sistema registra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
