modelo,tecnica,case_id,source_id,original_case,execucao,bertscore_precision,bertscore_recall,bertscore_f1,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,6,41.65380096435547,54.12735366821289,47.78078842163086,1,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos necessários
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,7,37.61772918701172,56.209136962890625,46.58660125732422,2,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de entidades listadas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,10,36.443050384521484,54.84979248046875,45.32678985595703,3,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And o usuário preenche todos os campos obrigatórios com informações válidas
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,3,36.46336364746094,54.509307861328125,45.18177032470703,4,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com informações válidas
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de entidades listadas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,5,36.245521545410156,53.63413619995117,44.661922454833984,5,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,9,35.55434799194336,51.672882080078125,43.384727478027344,6,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos de nome, email e senha corretamente
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de login
    And a entidade é criada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,1,35.550689697265625,51.492523193359375,43.299312591552734,7,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro e redireciona o usuário para a página principal
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,4,36.040199279785156,50.32738494873047,43.01968765258789,8,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página principal
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,2,34.921669006347656,51.484195709228516,42.957096099853516,9,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos de nome, email e senha corretamente
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de login
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,8,32.72386932373047,49.28314208984375,40.757362365722656,10,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,9,37.469337463378906,59.79743576049805,48.13384246826172,1,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-09,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo ""Data da Transação"" com uma data inválida
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que a data da transação é inválida
    And o campo ""Data da Transação"" é mantido com o valor preenchido
    And o sistema não salva a transação",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,6,41.58978271484375,53.1583251953125,47.28935241699219,2,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-06,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de criação de transação
    And o usuário preenche todos os campos com valores inválidos
  When o usuário clica no botão de cadastrar
  Then o sistema exibe uma mensagem de erro indicando que pelo menos um campo está inválido
    And o usuário permanece na página de criação de transação",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,8,34.747222900390625,60.48541259765625,46.92849349975586,3,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-08,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo ""Data"" com uma data inválida
    And o usuário preenche o campo ""Valor"" com um valor inválido
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que pelo menos um campo está inválido
    And o sistema mantém a transação não salva",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,5,38.673667907714844,55.2104606628418,46.69784927368164,4,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-05,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário insere um valor inválido no campo de data
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de erro indicando que a data está inválida
    And o campo de data é mantido com o valor inválido
    And o usuário é mantido na página de cadastro de transação
    And o sistema não registra a transação
    And o usuário não recebe nenhuma confirmação de cadastro de transação",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,7,35.96576690673828,54.59278106689453,44.95005798339844,5,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-07,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo ""Data"" com uma data inválida
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que a data está inválida
    And o campo ""Data"" é mantido com o valor preenchido
    And o usuário permanece na página de cadastro de transação",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,4,33.25916290283203,57.376224517822266,44.71797180175781,6,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-04,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
    And o usuário preenche o campo ""Data"" com uma data inválida
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que a data está inválida
    And o campo ""Data"" é mantido preenchido com a data inválida
    And o botão ""Salvar"" permanece habilitado",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1002,1002,Cadastrar transação com campos inválidos,10,33.7823600769043,56.37522888183594,44.560821533203125,7,TC_1002__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-10,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de criação de transação
    And o usuário insere um valor inválido no campo ""Data""
  When o usuário clica no botão ""Salvar""
  Then o sistema exibe uma mensagem de erro indicando que a data está inválida
    And o campo ""Data"" é mantido com o valor inválido
    And o botão ""Salvar"" fica desabilitado
    And o sistema não salva a transação no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
