modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.806089,1,0.614778,0.382623,0.0026,0.0,1.0,3,3,3,0,0,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.806089,2,0.614778,0.382623,0.0026,0.0,1.0,3,3,3,0,0,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.806089,3,0.614778,0.382623,0.0026,0.0,1.0,3,4,3,0,1,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação
    And deve ser exibida uma mensagem de sucesso indicando o cadastro concluído",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.806089,4,0.614778,0.382623,0.0026,0.0,1.0,3,4,3,0,1,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação
    And deve exibir uma mensagem de sucesso indicando o cadastro realizado",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.806089,5,0.614778,0.382623,0.0026,0.0,1.0,3,3,3,0,0,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.806089,6,0.614778,0.382623,0.0026,0.0,1.0,3,3,3,0,0,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.805816,7,0.614283,0.383067,0.00265,0.0,1.0,3,3,3,0,0,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.805816,8,0.614283,0.383067,0.00265,0.0,1.0,3,3,3,0,0,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.805626,9,0.613941,0.38337,0.002689,0.0,1.0,3,3,3,0,0,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.744603,10,0.503309,0.482588,0.014103,0.0,1.0,3,3,3,0,0,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser cadastrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
