modelo,tecnica,case_id,source_id,original_case,execucao,meteor_score,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.91,1,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de entidades listadas
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.9,2,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e o registro é criado no banco de dados
    And o usuário é redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.9,3,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona para a página de listagem de entidades
    And a entidade aparece na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.89,4,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e a entidade é salva no banco de dados
    And a página é redirecionada para a lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.89,5,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso e redireciona para a página de listagem de entidades
    And a entidade é incluída na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.89,6,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de listagem de entidades
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.89,7,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And que o usuário preenche os campos necessários com informações válidas
  When o usuário clica no botão de enviar
  Then a entidade é criada e o sistema exibe uma mensagem de sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.87,8,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de lista de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.87,9,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de enviar
  Then a mensagem de sucesso é exibida
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
mistralai/Mistral-7B-Instruct-v0.3,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.86,10,TC_1__mistralai-mistral-7b-instruct-v0.3__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso e redireciona o usuário para a página de lista de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_one-shot.json
