modelo,tecnica,case_id,source_id,original_case,execucao,bertscore_precision,bertscore_recall,bertscore_f1,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,9,40.91798782348633,52.141483306884766,46.45457077026367,1,TC_1__qwen-qwen3-8b__few-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,2,40.91798782348633,52.1414680480957,46.45453643798828,2,TC_1__qwen-qwen3-8b__few-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,3,40.91798782348633,52.1414680480957,46.45453643798828,3,TC_1__qwen-qwen3-8b__few-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,1,40.442840576171875,51.464168548583984,45.883853912353516,4,TC_1__qwen-qwen3-8b__few-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a página de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,4,40.442840576171875,51.464168548583984,45.883853912353516,5,TC_1__qwen-qwen3-8b__few-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a página de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,10,39.59305191040039,51.757633209228516,45.57536697387695,6,TC_1__qwen-qwen3-8b__few-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados necessários
  When o usuário clica no botão ""Cadastrar""
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,8,38.41680145263672,52.29044723510742,45.2025260925293,7,TC_1__qwen-qwen3-8b__few-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados necessários
  When o usuário clica no botão ""Cadastrar""
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade é armazenada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,7,35.99296951293945,51.229454040527344,43.41446304321289,8,TC_1__qwen-qwen3-8b__few-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a página de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão ""Cadastrar""
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade é armazenada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,5,35.70647430419922,50.42413330078125,42.886688232421875,9,TC_1__qwen-qwen3-8b__few-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão ""Cadastrar""
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade é armazenada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
Qwen/Qwen3-8B,few-shot,TC_1,1,Cadastrar Entidade com sucesso,6,35.70647430419922,50.42413330078125,42.886688232421875,10,TC_1__qwen-qwen3-8b__few-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão ""Cadastrar""
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade é armazenada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_few-shot.json
