modelo,tecnica,case_id,source_id,original_case,execucao,meteor_score,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.87,1,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then a entidade deve ser cadastrada com sucesso
    And o sistema exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.87,2,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then a entidade deve ser cadastrada com sucesso
    And o sistema exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.87,3,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then a entidade deve ser cadastrada com sucesso
    And o sistema exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.86,4,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then o sistema deve exibir uma mensagem de confirmação indicando que a entidade foi cadastrada com sucesso
    And o novo registro deve aparecer na lista de entidades existentes",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.85,5,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then o sistema deve confirmar a criação da entidade com sucesso
    And o formulário deve ser limpo após a confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.85,6,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then a entidade deve ser cadastrada com sucesso
    And a página deve redirecionar para a confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.84,7,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then o sistema deve confirmar a criação da entidade
    And o formulário deve ser limpo após a confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.76,8,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then o sistema deve exibir uma mensagem de confirmação de cadastro bem-sucedido
    And o novo registro deve aparecer na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.76,9,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then o sistema deve confirmar o cadastro com uma mensagem de sucesso
    And o novo registro deve aparecer na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
ibm-granite/granite-4.1-8b,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.75,10,TC_1__ibm-granite-granite-4.1-8b__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
    And o usuário preenche todos os campos obrigatórios com dados válidos
  When o usuário clica no botão de salvar
  Then o sistema deve exibir uma mensagem de confirmação de cadastro bem-sucedido
    And o novo registro deve aparecer na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_one-shot.json
