modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.981538,1,0.963661,0.035754,0.000585,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que existe uma página de cadastro de entidades
    And o usuário está logado no sistema
  When o usuário preenche os campos obrigatórios e clica em ""Cadastrar""
  Then a mensagem ""Entidade cadastrada com sucesso"" é exibida
    And a entidade é listada na página de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.832739,2,0.666557,0.332365,0.001078,0.0,1.0,3,6,3,0,3,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existem credenciais válidas
  When um usuário se autentica e acessa a página de cadastro
    And preenche os campos necessários com informações válidas
  When envia a solicitação de cadastro
  Then recebe uma resposta de sucesso
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.819665,3,0.639634,0.360062,0.000304,0.0,1.0,3,3,3,0,0,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existir uma página de cadastro de entidades
  When um usuário preencher o formulário com os dados necessários
  Then a entidade é cadastrada com sucesso e retornada com um código de status HTTP 201 Created",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.811363,4,0.623571,0.375584,0.000845,0.0,1.0,3,4,3,0,1,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que existe uma página de cadastro de entidades
    And o usuário está logado no sistema
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade é cadastrada com sucesso e redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.788886,5,0.578798,0.420177,0.001026,0.0,1.0,3,4,3,0,1,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que existe uma página de cadastro de entidades
    And que o usuário está logado no sistema
  When o usuário preenche os campos necessários e envia o formulário
  Then a entidade é criada com sucesso e redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.778768,6,0.558555,0.440427,0.001018,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existem dados para criação de uma entidade
    And o sistema está disponível para uso
  When o usuário cadastra uma nova entidade com os dados fornecidos
  Then a entidade é criada com sucesso no sistema
    And o sistema retorna uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.765729,7,0.533332,0.464793,0.001875,0.0,1.0,3,4,3,0,1,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existir um sistema de cadastro de entidades
  When um usuário fornecer todos os campos necessários para criar uma nova entidade
  Then a entidade será criada com sucesso e retornada ao usuário
    And o sistema deve armazenar a entidade no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.679243,8,0.36668,0.625127,0.008193,0.0,1.0,3,4,3,0,1,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está logado no sistema
    And o usuário acessa a página de cadastro de entidades
  When o usuário preenche os campos necessários e envia a solicitação
  Then a entidade é criada com sucesso e o usuário recebe uma mensagem de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.670911,9,0.342318,0.657188,0.000495,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existem credenciais de acesso válidas
    And o usuário está logado no sistema
  When o usuário cadastra uma nova entidade
  Then a entidade é salva com sucesso no banco de dados
    And o usuário recebe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.617179,10,0.234898,0.764563,0.000539,0.0,1.0,3,4,3,0,1,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está logado no sistema
    And o formulário de cadastro está visível
  When o usuário preenche os campos necessários corretamente
  Then o sistema deve permitir o cadastro da entidade e redirecionar o usuário para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
