modelo,tecnica,case_id,source_id,original_case,execucao,distancia_manhattan,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,24.0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then a entidade é cadastrada com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,26.0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete o formulário de cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,26.0,3,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro com sucesso
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,26.0,4,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem credenciais válidas
  When o usuário preenche o formulário de cadastro e submete
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,26.0,5,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then a entidade é criada com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,27.0,6,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro e submete a solicitação
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,27.0,7,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro e submete a solicitação
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,27.0,8,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,32.0,9,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todas as informações necessárias para cadastro
  When o usuário submete as informações de cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,32.0,10,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todas as informações necessárias para cadastro
  When o usuário submeteu as informações para cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
