modelo,tecnica,case_id,source_id,original_case,execucao,distancia_manhattan,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,23.0,1,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,23.0,2,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,23.0,3,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser cadastrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,23.0,4,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,24.0,5,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,24.0,6,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de Entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,24.0,7,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,25.0,8,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,34.0,9,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação
    And deve exibir uma mensagem de sucesso indicando o cadastro realizado",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,35.0,10,TC_1__ibm-granite-granite-4.1-8b__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro da entidade
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade deve ser registrada com sucesso e o usuário deve ser redirecionado à página de confirmação
    And deve ser exibida uma mensagem de sucesso indicando o cadastro concluído",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1002,1002,Cadastrar transação com campos inválidos,4,29.0,1,TC_1002__ibm-granite-granite-4.1-8b__zero-shot__exec-04,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastro de transação com campos inválidos
  Given o usuário está na página de cadastro de transação
  When o usuário preenche os campos com dados inválidos
  Then a página retorna mensagens de erro para cada campo inválido
    And a transação não é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
ibm-granite/granite-4.1-8b,zero-shot,TC_1002,1002,Cadastrar transação com campos inválidos,10,30.0,2,TC_1002__ibm-granite-granite-4.1-8b__zero-shot__exec-10,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastro de transação com campos inválidos
  Given o usuário está na página de cadastro de transação
  When o usuário preenche os campos com valores inválidos
  Then a página retorna mensagens de erro para cada campo inválido
    And o botão de salvar transação está desabilitado",10,base_referencia_gherkin.json,geracoes_gherkin_ibm-granite-granite-4.1-8b_zero-shot.json
