modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.835807,1,0.674065,0.323485,0.00245,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma confirmação de sucesso
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.833669,2,0.669783,0.327772,0.002446,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma confirmação de cadastro bem-sucedido
    And a entidade é adicionada à lista de registros",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.833669,3,0.669783,0.327772,0.002446,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma confirmação de cadastro bem-sucedido
    And a entidade é adicionada à lista de registros",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.833113,4,0.668745,0.328735,0.002519,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão cadastrar
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.811116,5,0.624756,0.37272,0.002524,0.0,1.0,3,7,3,0,4,TC_1__qwen-qwen3-8b__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o campo nome com ""Empresa XYZ""
    And preenche o campo CNPJ com ""12345678901""
    And seleciona o tipo de entidade como ""Ltda""
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade ""Empresa XYZ"" aparece na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.752409,6,0.507276,0.490266,0.002458,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma mensagem de confirmação de sucesso
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.751478,7,0.504735,0.493488,0.001778,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de cadastrar
  Then o sistema exibe uma mensagem de confirmação de sucesso
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.751478,8,0.504735,0.493488,0.001778,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de cadastrar
  Then o sistema exibe uma mensagem de confirmação de sucesso
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.749105,9,0.500667,0.496876,0.002457,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma mensagem de confirmação de cadastro bem-sucedido
    And a entidade é adicionada à lista de registros",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.748174,10,0.498125,0.500098,0.001777,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de cadastrar
  Then o sistema exibe uma mensagem de confirmação de cadastro bem-sucedido
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
