modelo,tecnica,case_id,source_id,original_case,execucao,distancia_manhattan,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,28.0,1,TC_1__qwen-qwen3-8b__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o formulário com os dados da entidade
  When o usuário clica no botão cadastrar
  Then o sistema cadastra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,30.0,2,TC_1__qwen-qwen3-8b__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma confirmação de sucesso
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,33.0,3,TC_1__qwen-qwen3-8b__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma confirmação de cadastro bem-sucedido
    And a entidade é adicionada à lista de registros",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,33.0,4,TC_1__qwen-qwen3-8b__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma mensagem de confirmação de sucesso
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,34.0,5,TC_1__qwen-qwen3-8b__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de cadastrar
  Then o sistema exibe uma mensagem de confirmação de sucesso
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,34.0,6,TC_1__qwen-qwen3-8b__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de cadastrar
  Then o sistema exibe uma mensagem de confirmação de sucesso
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,34.0,7,TC_1__qwen-qwen3-8b__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma confirmação de cadastro bem-sucedido
    And a entidade é adicionada à lista de registros",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,36.0,8,TC_1__qwen-qwen3-8b__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de cadastrar
  Then o sistema exibe uma mensagem de confirmação de cadastro bem-sucedido
    And a entidade é registrada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,36.0,9,TC_1__qwen-qwen3-8b__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidade
    And preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma mensagem de confirmação de cadastro bem-sucedido
    And a entidade é adicionada à lista de registros",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
Qwen/Qwen3-8B,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,48.0,10,TC_1__qwen-qwen3-8b__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário acessa a tela de cadastro de entidades
    And preenche o campo nome com ""Empresa XYZ""
    And preenche o campo CNPJ com ""12345678901""
    And seleciona o tipo de entidade como ""Ltda""
  When o usuário clica no botão cadastrar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada
    And a entidade ""Empresa XYZ"" aparece na lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_one-shot.json
