modelo,tecnica,case_id,source_id,original_case,execucao,bertscore_precision,bertscore_recall,bertscore_f1,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,9,51.824581146240234,61.43465805053711,56.5845947265625,1,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos de cadastro com dados válidos
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,4,51.041622161865234,60.739959716796875,55.844505310058594,2,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos de cadastro com informações válidas
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,5,47.450923919677734,58.189605712890625,52.75285720825195,3,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche todos os campos obrigatórios corretamente
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,3,43.86214828491211,59.410404205322266,51.428077697753906,4,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche os campos de cadastro com informações válidas
  Then o sistema exibe uma mensagem de confirmação indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,10,45.981658935546875,55.44020080566406,50.67412185668945,5,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro
  When o usuário preenche todos os campos obrigatórios corretamente
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de login",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,6,41.19712448120117,53.62420654296875,47.30241775512695,6,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro e clica no botão de submit
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,1,40.30544662475586,52.99590301513672,46.535221099853516,7,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro
  When o usuário preenche os campos de cadastro com informações válidas
  Then o sistema exibe uma mensagem de confirmação ""Cadastro realizado com sucesso""
    And a entidade é criada com sucesso
    And o usuário é redirecionado para a página de login",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,8,40.24787139892578,49.01356506347656,44.61355972290039,8,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche todos os campos obrigatórios corretamente
  Then o sistema exibe uma mensagem de confirmação indicando que a entidade foi cadastrada com sucesso
    And a entidade é criada com sucesso na base de dados",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,7,38.25060272216797,47.27226638793945,42.740631103515625,9,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário tem dados válidos para cadastro
  When o usuário preenche o formulário de cadastro e clica no botão de submit
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de login",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,TC_1,1,Cadastrar Entidade com sucesso,2,36.784568786621094,48.224876403808594,42.42629623413086,10,TC_1__meta-llama-meta-llama-3-8b-instruct__few-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastro de entidade com sucesso
  Given o usuário está na página de cadastro de entidade
  When o usuário preenche todos os campos obrigatórios corretamente
  Then o sistema exibe uma mensagem de confirmação indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_few-shot.json
