modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.781046,1,0.569054,0.423984,0.006962,0.0,1.0,3,6,3,0,3,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos de nome, email e senha corretamente
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de login
    And a entidade é criada no sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.780376,2,0.567838,0.425075,0.007086,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And o usuário preenche os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de entidades listadas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.780376,3,0.567838,0.425075,0.007086,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidade
    And o usuário preenche todos os campos obrigatórios com informações válidas
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.780185,4,0.567497,0.425376,0.007128,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com informações válidas
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de entidades listadas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.780185,5,0.567497,0.425376,0.007128,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And o usuário é redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.780185,6,0.567497,0.425376,0.007128,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos necessários
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso indicando que a entidade foi cadastrada com sucesso
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.779949,7,0.567004,0.425891,0.007105,0.0,1.0,3,6,3,0,3,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios corretamente
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página principal
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.779949,8,0.567004,0.425891,0.007105,0.0,1.0,3,6,3,0,3,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de entidades
    And a entidade é adicionada à lista de entidades do sistema",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.774344,9,0.569248,0.410193,0.020559,0.0,1.0,3,6,3,0,3,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está na página de cadastro de entidades
    And o usuário preenche os campos de nome, email e senha corretamente
  When o usuário clica no botão de envio
  Then o sistema exibe uma mensagem de sucesso de cadastro
    And o usuário é redirecionado para a página de login
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
mistralai/Mistral-7B-Instruct-v0.3,few-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.747732,10,0.502575,0.490314,0.007111,0.0,1.0,3,5,3,0,2,TC_1__mistralai-mistral-7b-instruct-v0.3__few-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário está na página de cadastro de entidades
    And o usuário preenche todos os campos obrigatórios com valores válidos
  When o usuário clica no botão de enviar
  Then o sistema exibe uma mensagem de sucesso de cadastro e redireciona o usuário para a página principal
    And a entidade é criada no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_few-shot.json
