modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.831299,1,0.663,0.336597,0.000403,0.0,1.0,3,5,3,0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And ele tem todas as informações necessárias para cadastro
  When ele submete as informações de cadastro
  Then o sistema registra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.798591,2,0.597534,0.402115,0.000352,0.0,1.0,3,5,3,0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário submete o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And um recado de confirmação é exibido ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.798591,3,0.597534,0.402115,0.000352,0.0,1.0,3,5,3,0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário submete o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.701813,4,0.403964,0.595698,0.000338,0.0,1.0,3,5,3,0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And um formulário de cadastro está disponível
  When o usuário preenche o formulário com dados válidos
  Then o sistema registra a entidade com sucesso
    And envia uma mensagem de confirmação para o usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.686981,5,0.38061,0.612743,0.006647,0.0,1.0,3,5,3,0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro de entidade está preenchido corretamente
  When o usuário clica no botão de cadastro
  Then a entidade é criada com sucesso
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.676923,6,0.358254,0.637338,0.004408,0.0,1.0,3,3,3,0,0,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
  When solicita a criação de uma nova entidade
  Then a entidade é criada com sucesso e é exibida na lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.673944,7,0.348457,0.650974,0.000569,0.0,1.0,3,5,3,0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido e senha correta
    And dados de cadastro válidos
  When realiza o cadastro da entidade
  Then a entidade é cadastrada com sucesso
    And mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.673944,8,0.348457,0.650974,0.000569,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido e senha correta
  When realiza o cadastro da entidade
  Then a entidade é cadastrada com sucesso
    And um mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.614965,9,0.230551,0.768828,0.000621,0.0,1.0,3,4,3,0,1,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
  When realiza a solicitação de cadastro da entidade
  Then a entidade é cadastrada com sucesso e apresentada na lista de resultados
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.612596,10,0.226423,0.772347,0.00123,0.0,1.0,3,5,3,0,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário clica no botão de cadastro
  Then a entidade é cadastrada com sucesso e é exibida na lista de resultados
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
