modelo,tecnica,case_id,source_id,original_case,execucao,bertscore_precision,bertscore_recall,bertscore_f1,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,1,53.16523742675781,57.02898025512695,55.138832092285156,1,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then a entidade é cadastrada com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,9,51.49576187133789,54.00876235961914,52.80646514892578,2,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then a entidade é criada com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,10,48.199710845947266,52.177310943603516,50.23523712158203,3,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete os dados para cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,2,46.083274841308594,52.25870132446289,49.19364929199219,4,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário submete o formulário de cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,3,44.646209716796875,51.03024673461914,47.859352111816406,5,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todas as informações necessárias para cadastro
  When o usuário submete as informações de cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,4,41.42559051513672,52.77796936035156,47.02290725708008,6,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro e submete a solicitação
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,6,41.42559051513672,52.77796936035156,47.02290725708008,7,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro e submete a solicitação
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,5,42.93476104736328,50.775909423828125,46.853790283203125,8,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given o usuário tem todos os dados necessários para cadastro
  When o usuário preenche o formulário de cadastro com sucesso
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,8,43.46924591064453,50.1068000793457,46.8065071105957,9,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem todas as informações necessárias para cadastro
  When o usuário submeteu as informações para cadastro
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1,1,Cadastrar Entidade com sucesso,7,39.30299758911133,51.7160530090332,45.40261459350586,10,TC_1__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário tem credenciais válidas
  When o usuário preenche o formulário de cadastro e submete
  Then o sistema registra a entidade com sucesso
    And o usuário é redirecionado para a página de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,5,52.57542037963867,61.8448486328125,57.1716423034668,1,TC_1002__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-05,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
  When o usuário insere dados de transação com campos inválidos
  Then o sistema exibe uma mensagem de erro indicando que os campos são inválidos
    And os campos de entrada são limpos",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,1,50.5329475402832,62.86545944213867,56.58866882324219,2,TC_1002__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-01,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
  When o usuário insere dados de transação inválidos e clica no botão de cadastro
  Then o sistema exibe uma mensagem de erro indicando que os campos são inválidos
    And os campos de transação são limpos",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,TC_1002,1002,Cadastrar transação com campos inválidos,6,49.96501922607422,62.28350830078125,56.01443099975586,3,TC_1002__meta-llama-meta-llama-3-8b-instruct__one-shot__exec-06,TC_1002__reference,"Scenario: Cadastrar transação com campos inválidos
  Given que o usuário está na funcionalidade de cadastro de transação
  When ele informa campos inválidos e tenta salvar
  Then a transação não é cadastrada","Scenario: Cadastrar transação com campos inválidos
  Given o usuário está na página de cadastro de transação
  When o usuário insere dados de transação inválidos e clica no botão de cadastro
  Then o sistema exibe uma mensagem de erro indicando que os dados de transação são inválidos
    And os campos de transação são limpos",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_one-shot.json
