modelo,tecnica,case_id,source_id,original_case,execucao,nli_score,ranking_no_caso,entailment_mean,neutral_mean,contradiction_mean,contradiction_rate,coverage,passos_ground_truth,passos_gerados,passos_alinhados,passos_ausentes,passos_extras,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,0.761965,1,0.52439,0.475149,0.00046,0.0,1.0,3,4,3,0,1,TC_1__qwen-qwen3-8b__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
  When o usuário preenche todos os campos corretamente e envia o formulário
  Then a entidade é cadastrada com sucesso
    And uma mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,0.761965,2,0.52439,0.475149,0.00046,0.0,1.0,3,4,3,0,1,TC_1__qwen-qwen3-8b__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
  When o usuário preenche todos os campos corretamente e envia o formulário
  Then a entidade é cadastrada com sucesso
    And uma mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,0.761965,3,0.52439,0.475149,0.00046,0.0,1.0,3,4,3,0,1,TC_1__qwen-qwen3-8b__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
  When o usuário preenche todos os campos corretamente e envia o formulário
  Then a entidade é cadastrada com sucesso
    And uma mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,0.761965,4,0.52439,0.475149,0.00046,0.0,1.0,3,4,3,0,1,TC_1__qwen-qwen3-8b__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
  When o usuário preenche todos os campos corretamente e envia o formulário
  Then a entidade é cadastrada com sucesso
    And uma mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,0.760703,5,0.522295,0.476818,0.000888,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
    And os dados da entidade são validados corretamente
  When o usuário preenche e envia o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And uma confirmação de cadastro é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,0.716972,6,0.435071,0.563802,0.001127,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário autenticado no sistema
    And uma entidade válida foi preparada
  When o usuário cadastra a entidade
  Then a entidade é registrada com sucesso
    And uma confirmação de cadastro é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,0.68764,7,0.375786,0.623708,0.000506,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um formulário de cadastro está disponível
    And todos os campos obrigatórios estão preenchidos corretamente
  When o usuário envia o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And uma confirmação de cadastro é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,0.673979,8,0.349127,0.649706,0.001168,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário autenticado no sistema
    And uma entidade válida foi preparada para cadastro
  When o usuário cadastra a entidade
  Then a entidade é registrada com sucesso no sistema
    And uma confirmação de cadastro é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,0.673979,9,0.349127,0.649706,0.001168,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário autenticado no sistema
    And uma entidade válida foi preparada para cadastro
  When o usuário cadastra a entidade
  Then a entidade é registrada com sucesso no sistema
    And uma confirmação de cadastro é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
Qwen/Qwen3-8B,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,0.673979,10,0.349127,0.649706,0.001168,0.0,1.0,3,5,3,0,2,TC_1__qwen-qwen3-8b__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário autenticado no sistema
    And uma entidade válida foi preparada para cadastro
  When o usuário cadastra a entidade
  Then a entidade é registrada com sucesso no sistema
    And uma confirmação de cadastro é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_qwen-qwen3-8b_zero-shot.json
