modelo,tecnica,case_id,source_id,original_case,execucao,bertscore_precision,bertscore_recall,bertscore_f1,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,44.52021789550781,55.11951446533203,49.75794982910156,1,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
  When realiza a solicitação de cadastro da entidade
  Then a entidade é cadastrada com sucesso e apresentada na lista de resultados
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,46.48720932006836,51.06157684326172,48.8170280456543,2,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido e senha correta
  When realiza o cadastro da entidade
  Then a entidade é cadastrada com sucesso
    And um mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,42.13589859008789,51.519264221191406,46.79563522338867,3,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido e senha correta
    And dados de cadastro válidos
  When realiza o cadastro da entidade
  Then a entidade é cadastrada com sucesso
    And mensagem de confirmação é exibida",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,46.67606735229492,45.68017578125,46.24681091308594,4,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
  When solicita a criação de uma nova entidade
  Then a entidade é criada com sucesso e é exibida na lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,38.54220962524414,53.12162780761719,45.657569885253906,5,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário submete o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,38.977989196777344,52.44347381591797,45.57234573364258,6,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro de entidade está preenchido corretamente
  When o usuário clica no botão de cadastro
  Then a entidade é criada com sucesso
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,38.10490798950195,53.239662170410156,45.478965759277344,7,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário submete o formulário de cadastro
  Then a entidade é cadastrada com sucesso
    And um recado de confirmação é exibido ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,36.140716552734375,52.13095474243164,43.911781311035156,8,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And o formulário de cadastro está preenchido corretamente
  When o usuário clica no botão de cadastro
  Then a entidade é cadastrada com sucesso e é exibida na lista de resultados
    And um mensagem de confirmação é exibida ao usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,38.891963958740234,47.818485260009766,43.335899353027344,9,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And ele tem todas as informações necessárias para cadastro
  When ele submete as informações de cadastro
  Then o sistema registra a entidade com sucesso
    And exibe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,33.68070602416992,49.063045501708984,41.16994094848633,10,TC_1__meta-llama-meta-llama-3-8b-instruct__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário válido está logado no sistema
    And um formulário de cadastro está disponível
  When o usuário preenche o formulário com dados válidos
  Then o sistema registra a entidade com sucesso
    And envia uma mensagem de confirmação para o usuário",10,base_referencia_gherkin.json,geracoes_gherkin_meta-llama-meta-llama-3-8b-instruct_zero-shot.json
