modelo,tecnica,case_id,source_id,original_case,execucao,bertscore_precision,bertscore_recall,bertscore_f1,ranking_no_caso,generation_id,reference_id,gherkin_ground_truth,gherkin_gerado,execucoes_declaradas,arquivo_ground_truth,arquivo_geracoes
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,3,47.58029556274414,64.48419189453125,55.775272369384766,1,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-03,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que existe uma página de cadastro de entidades
    And o usuário está logado no sistema
  When o usuário preenche os campos obrigatórios e envia o formulário
  Then a entidade é cadastrada com sucesso e redirecionado para a página de listagem de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,9,47.8066291809082,60.7581672668457,54.155879974365234,2,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-09,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existir uma página de cadastro de entidades
  When um usuário preencher o formulário com os dados necessários
  Then a entidade é cadastrada com sucesso e retornada com um código de status HTTP 201 Created",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,6,46.761287689208984,59.55435562133789,53.036373138427734,3,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-06,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que existe uma página de cadastro de entidades
    And que o usuário está logado no sistema
  When o usuário preenche os campos necessários e envia o formulário
  Then a entidade é criada com sucesso e redirecionado para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,5,46.23860549926758,56.552093505859375,51.338993072509766,4,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-05,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está logado no sistema
    And o usuário acessa a página de cadastro de entidades
  When o usuário preenche os campos necessários e envia a solicitação
  Then a entidade é criada com sucesso e o usuário recebe uma mensagem de confirmação",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,8,40.466922760009766,55.95552444458008,48.0053596496582,5,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-08,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given que existe uma página de cadastro de entidades
    And o usuário está logado no sistema
  When o usuário preenche os campos obrigatórios e clica em ""Cadastrar""
  Then a mensagem ""Entidade cadastrada com sucesso"" é exibida
    And a entidade é listada na página de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,1,42.45262908935547,48.30887222290039,45.4119987487793,6,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-01,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existir um sistema de cadastro de entidades
  When um usuário fornecer todos os campos necessários para criar uma nova entidade
  Then a entidade será criada com sucesso e retornada ao usuário
    And o sistema deve armazenar a entidade no banco de dados",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,4,36.80887985229492,49.744529724121094,43.15540313720703,7,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-04,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given um usuário está logado no sistema
    And o formulário de cadastro está visível
  When o usuário preenche os campos necessários corretamente
  Then o sistema deve permitir o cadastro da entidade e redirecionar o usuário para a página de lista de entidades",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,7,38.58366394042969,46.141300201416016,42.370391845703125,8,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-07,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existem credenciais de acesso válidas
    And o usuário está logado no sistema
  When o usuário cadastra uma nova entidade
  Then a entidade é salva com sucesso no banco de dados
    And o usuário recebe uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,10,31.44458770751953,49.770118713378906,40.28849411010742,9,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-10,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existem credenciais válidas
  When um usuário se autentica e acessa a página de cadastro
    And preenche os campos necessários com informações válidas
  When envia a solicitação de cadastro
  Then recebe uma resposta de sucesso
    And a entidade é adicionada à lista de entidades cadastradas",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,TC_1,1,Cadastrar Entidade com sucesso,2,35.15660858154297,44.2456169128418,39.681453704833984,10,TC_1__mistralai-mistral-7b-instruct-v0.3__zero-shot__exec-02,TC_1__reference,"Scenario: Cadastrar Entidade com sucesso
  Given que o usuário está na funcionalidade de cadastro de entidade
  When ele preenche os dados e confirma o cadastro
  Then a entidade é cadastrada com sucesso","Scenario: Cadastrar Entidade com sucesso
  Given existem dados para criação de uma entidade
    And o sistema está disponível para uso
  When o usuário cadastra uma nova entidade com os dados fornecidos
  Then a entidade é criada com sucesso no sistema
    And o sistema retorna uma mensagem de confirmação de cadastro",10,base_referencia_gherkin.json,geracoes_gherkin_mistralai-mistral-7b-instruct-v0.3_zero-shot.json
